,,DEN,Denver International,Denver,CO,A Bridge,0
,,,,,,Blue-2,1
,,DTW,Detroit Metro Wayne County,Detroit,MI,,
,,,,,,Red 3,2
,,EWR,Newark International,Newark,NJ,Terminal B/3,0
,,IAD,Washington-Dulles International,"Washington, DC",VA,Passenger Screening Area:  PreCheck,2
,,,,,,Terminal 1,0
,,,,,,Terminal 4 Main,9
,,JFK,John F. Kennedy International,Jamaica,NY,,
,,,,,,Terminal 5,7
,,,,,,Terminal 8,0
,,LAS,McCarran International,Las Vegas,NV,Term 1 - D,0
,,MCO,Orlando International,Orlando,FL,WEST FIS,0
,,MDW,Chicago Midway,Chicago,IL,Main Checkpoint,0
,,,,,,Int'l Arrivals,0
,,MEM,Memphis International,Memphis,TN,,
,,,,,,MEM-C,0
,00:00,,,,,,
,,,,,,North 2,0
,,MIA,Miami International,Miami,FL,,
,,,,,,South-H,0
,,MSP,Minneapolis-St. Paul International,St. Paul,MN,North CP,4
,,,,,,4B,4
,,ORD,Chicago-OHare International,Chicago,IL,,
,,,,,,6A,4
,,PDX,Portland International Airport,Portland,OR,PDX D/E,0
,,,,,,T-3 North,2
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-4 A,2
,,,,,,T-4 C,1
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,0
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,1
,,,,,,Security Checkpoint D,4
,,SFO,San Francisco International,San Francisco,CA,Security Checkpoint F-1,1
,,,,,,Security Checkpoint G,15
,,DEN,Denver International,Denver,CO,A Bridge,4
,,,,,,Blue-2,1
,,DTW,Detroit Metro Wayne County,Detroit,MI,,
,,,,,,Red 3,4
5/3/2020,,,,,,,
,,EWR,Newark International,Newark,NJ,Terminal B/3,0
,,IAD,Washington-Dulles International,"Washington, DC",VA,Passenger Screening Area:  PreCheck,0
,,,,,,Terminal 1,0
,,,,,,Terminal 4 Main,5
,,JFK,John F. Kennedy International,Jamaica,NY,,
,,,,,,Terminal 5,0
,,,,,,Terminal 8,0
,,LAS,McCarran International,Las Vegas,NV,Term 1 - D,0
,,MDW,Chicago Midway,Chicago,IL,Main Checkpoint,0
,01:00,,,,,,
,,,,,,North 2,1
,,MIA,Miami International,Miami,FL,,
,,,,,,South-H,1
,,MSP,Minneapolis-St. Paul International,St. Paul,MN,North CP,2
,,,,,,4B,3
,,ORD,Chicago-OHare International,Chicago,IL,,
,,,,,,6A,2
,,PDX,Portland International Airport,Portland,OR,PDX D/E,1
,,,,,,T-3 North,2
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-4 A,5
,,,,,,T-4 C,1
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,0
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,3
,,DEN,Denver International,Denver,CO,A Bridge,4
,,,,,,Blue-2,1
,,DTW,Detroit Metro Wayne County,Detroit,MI,,
,,,,,,Red 3,8
,,,,,,Terminal B/3,1
,,EWR,Newark International,Newark,NJ,,
,,,,,,Terminal C/1,4
,,IAD,Washington-Dulles International,"Washington, DC",VA,Passenger Screening Area:  PreCheck,3
,02:00,,,,,,
,,,,,,Terminal 1,0
,,,,,,Terminal 4 Main,4
,,JFK,John F. Kennedy International,Jamaica,NY,,
,,,,,,Terminal 5,1
,,,,,,Terminal 8,0
,,LAS,McCarran International,Las Vegas,NV,Term 1 - D,0
,,MDW,Chicago Midway,Chicago,IL,Main Checkpoint,0
,,,,,,North 2,4
,,MIA,Miami International,Miami,FL,,
,,,,,,South-H,1
,,MSP,Minneapolis-St. Paul International,St. Paul,MN,North CP,14
,,,,,,4B,19
,,ORD,Chicago-OHare International,Chicago,IL,,
,,,,,,6A,15
,02:00,PDX,Portland International Airport,Portland,OR,PDX D/E,3
,,,,,,T-3 North,4
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-4 A,4
,,,,,,T-4 C,7
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,2
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,31
,,ANC,Ted Stevens AnchorageInternational,Anchorage,AK,South Checkpoint,26
,,AUS,Austin Bergstrom International,Austin,TX,AUS02,4
,,BDL,Bradley International,Windsor Locks,CT,A1,3
,,,,,,BNA Main,8
,,BNA,Nashville International,Nashville,TN,Employee Checkpoint,0
,,,,,,South Checkpoint,0
,,,,,,B Checkpoint,1
,,BWI,Baltimore-Washington International,BWI Airport,MD,,
,,,,,,D/E Checkpoint,0
,,CVG,Cincinnati/Northern KentuckyInternational,Hebron,KY,T3-MCP,4
,,DEN,Denver International,Denver,CO,A Bridge,69
,,,,,,C21,2
,,DFW,Dallas/Fort Worth International,DFW Airport,TX,,
,,,,,,E18,22
,,,,,,Blue-2,30
,,DTW,Detroit Metro Wayne County,Detroit,MI,,
,,,,,,Red 3,13
,,EUG,Mahlon Sweet Field (Eugene),Eugene,OR,EUGZ,9
,,,,,,Terminal B/1,0
,,EWR,Newark International,Newark,NJ,Terminal B/3,0
,,,,,,Terminal C/1,9
5/3/2020,,FLL,Ft. Lauderdale-HollywoodInternational,Fort Lauderdale,FL,T3F Checkpoint,8
,,,,,,GEG-A/B,5
,,GEG,Spokane International,Spokane,WA,,
,,,,,,GEGC,1
,,GPT,Gulfport Bilox Regional,Gulfport,MS,GPT-A,0
,,GSP,Greenville-Spartanburg,Greer,SC,Checkpoint,2
,03:00,IAD,Washington-Dulles International,"Washington, DC",VA,Passenger Screening Area:  PreCheck,10
,,IAH,Houston Intercontinental,Houston,TX,12/AS Terminal,46
,,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,11
,,,,,,Terminal 1,0
,,,,,,Terminal 4 Main,6
,,JFK,John F. Kennedy International,Jamaica,NY,,
,,,,,,Terminal 5,21
,,,,,,Terminal 8,0
,,LAS,McCarran International,Las Vegas,NV,Term 1 - D,31
,,MCO,Orlando International,Orlando,FL,WEST Checkpoint,6
,,MDT,Harrisburg International,Middletown,PA,MDT Main Terminal,3
,,MDW,Chicago Midway,Chicago,IL,Main Checkpoint,1
,,,,,,North 2,22
,,MIA,Miami International,Miami,FL,,
,,,,,,South-H,3
